"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@gasdev_v_,149,0,0,30,0,46,1664.98,0,89.305,0,129.81
function@def_dim_,0,0,0,0,0,25,0,0,0,0,12.8824
function@inp_par_,3,0,0,1,0,64,0.565574,0,0.188525,0,13.1639
function@read_phypar_,318,0,0,75,0,1640,21.8704,0,6.17998,0,265.012
function@decode_line_,20,0,0,11,0,53,14.6633,0,4.52041,0,43.6122
function@load_i1_,0,0,0,0,0,0,0,0,0,0,0
function@load_l1_,0,0,0,0,0,2,0,0,0,0,2
function@load_r1_,0,0,0,0,0,0,0,0,0,0,0
function@load_i_,0,0,0,0,0,9,0,0,0,0,2.51471
function@load_l_,6,0,0,3,0,24,3.11905,0,1.80952,0,129.214
function@load_r_,0,0,0,0,0,9,0,0,0,0,2.66667
function@get_varcoords_,78,0,0,14,0,58,20.0611,0,10.8139,0,34.0186
function@_QMexchange_2d_modPexchange_p2d_tile,0,0,0,0,0,4,0,0,0,0,1.47059
function@_QMexchange_2d_modPexchange_r2d_tile,0,0,0,0,0,4,0,0,0,0,1.47059
function@_QMexchange_2d_modPexchange_u2d_tile,0,0,0,0,0,4,0,0,0,0,1.47059
function@_QMexchange_2d_modPexchange_v2d_tile,0,0,0,0,0,4,0,0,0,0,1.47059
function@_QMshapiro_modPshapiro2d_tile,51,0,0,14,0,54,3585.03,0,667.901,0,319.901
function@_QMshapiro_modPshapiro3d_tile,127,2,0,27,0,25,5657.25,48.8333,167.917,0,4920
function@congrad_,0,0,0,0,0,0,0,0,0,0,0
function@obs_depth_,0,0,0,0,0,0,0,0,0,0,0
function@set_ngfld_,0,0,0,0,0,31,0,0,0,0,30.8938
function@get_2dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMuv3dmix_modPuv3dmix2,0,0,0,0,0,8,0,0,0,0,8
function@_QMuv3dmix_modPuv3dmix2_tile,510,4,0,169,0,11,443211,141.417,4587.42,0,3474.42
function@_QMocean_control_modProms_initialize,0,0,0,0,0,6,0,0,0,0,13.5484
function@_QMocean_control_modProms_run,0,0,0,0,0,0,0,0,0,0,0
function@_QMocean_control_modProms_finalize,0,0,0,0,0,1,0,0,0,0,20
function@def_hessian_,0,0,0,0,0,0,0,0,0,0,0
function@_QMstep2d_modPstep2d,462,0,0,183,0,0,462,0,183,0,0
function@_QMstep2d_modPstep2d_tile,3968,15,0,1031,0,249,77630.5,14.7619,16842.5,0,1454.74
function@_QMmod_forcesPallocate_forces,22,0,0,7,0,17,21.5,0,7,0,16
function@_QMmod_forcesPinitialize_forces,0,0,0,0,0,3,0,0,0,0,13.75
function@def_lanczos_,0,0,0,0,0,0,0,0,0,0,0
function@_QMnf_fwrite2d_modPnf_fwrite2d,1,0,0,1,0,23,0.625,0,1,0,22.875
function@_QMu3dbc_modPu3dbc,0,0,0,0,0,1,0,0,0,0,1
function@_QMu3dbc_modPu3dbc_tile,0,0,0,0,0,12,0,0,0,0,37.7778
function@def_his_,810,0,0,56,0,408,106.883,0,31.9225,0,75.915
function@_QMmetrics_modPmetrics,46,0,0,42,0,0,46,0,42,0,0
function@_QMmetrics_modPmetrics_tile,1617,6,0,362,0,102,27852.7,7.84615,2512.15,0,619.754
function@_QMt3dbc_modPt3dbc,0,0,0,0,0,3,0,0,0,0,3
function@_QMt3dbc_modPt3dbc_tile,0,0,0,0,0,12,0,0,0,0,37.7778
