"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@decode_line_,34,31,0,25,8,47,29.8535,22.2357,11.5159,4.07006,39.2357
function@load_i1_,0,0,0,0,0,1,0,0,0,0,1
function@load_l1_,0,0,0,0,0,2,0,0,0,0,2
function@load_r1_,0,0,0,0,0,1,0,0,0,0,1
function@load_i_,0,0,0,0,0,17,0,0,0,0,5.12745
function@load_l_,13,8,0,10,0,10,36.1667,43.0714,16.1429,0,63.4762
function@load_r_,0,0,0,0,0,19,0,0,0,0,5.73529
function@get_varcoords_,74,16,0,28,10,48,19.6992,9.71387,18.0835,2.34424,21.1748
function@_QMexchange_2d_modPexchange_p2d_tile,4,17,0,3,6,12,0.784314,65.6275,3,10.7843,29.4706
function@_QMexchange_2d_modPexchange_r2d_tile,4,17,0,3,6,12,0.784314,65.6275,3,10.7843,29.4706
function@_QMexchange_2d_modPexchange_u2d_tile,4,17,0,3,6,12,0.784314,65.6275,3,10.7843,29.4706
function@_QMexchange_2d_modPexchange_v2d_tile,4,17,0,3,6,12,0.784314,65.6275,3,10.7843,29.4706
function@_QMshapiro_modPshapiro2d_tile,117,68,0,56,26,48,5301.87,1592.18,1986.07,67.4725,1025.67
function@_QMshapiro_modPshapiro3d_tile,86,77,0,46,29,42,20276.9,5837.92,9180.83,12838.3,25926.9
function@congrad_,0,0,0,0,0,0,0,0,0,0,0
function@obs_depth_,0,0,0,0,0,0,0,0,0,0,0
function@set_ngfld_,49,24,0,25,15,37,29.5882,247.847,20.4,93.6824,395.494
function@get_2dfldr_,0,0,0,0,0,0,0,0,0,0,0
function@_QMuv3dmix_modPuv3dmix2,35,2,0,31,0,8,35,2,31,0,8
function@_QMuv3dmix_modPuv3dmix2_tile,509,256,0,334,91,53,801595,422068,142169,20853.5,150204
function@_QMocean_control_modProms_initialize,0,0,0,0,0,9,0,0,0,0,38.9355
function@_QMocean_control_modProms_run,0,0,0,0,0,1,0,0,0,0,8.125
function@_QMocean_control_modProms_finalize,0,0,0,0,0,5,0,0,0,0,60.9375
function@def_hessian_,0,0,0,0,0,0,0,0,0,0,0
function@_QMstep2d_modPstep2d,260,0,0,123,1,15,260,0,123,1,15
function@_QMstep2d_modPstep2d_tile,4209,1726,0,2081,506,402,116908,30106,26817.8,7404.61,10430.7
function@_QMmod_forcesPallocate_forces,168,11,0,35,5,20,167.5,11,35,5,19
function@_QMmod_forcesPinitialize_forces,6,6,0,9,3,46,230.775,218.825,227.4,0.975,55298.5
function@def_lanczos_,0,0,0,0,0,0,0,0,0,0,0
function@_QMnf_fwrite2d_modPnf_fwrite2d,35,21,0,23,8,13,170.361,163.403,30.0139,33.2222,72.3611
function@_QMu3dbc_modPu3dbc,4,0,0,4,0,2,4,0,4,0,2
function@_QMu3dbc_modPu3dbc_tile,18,17,0,13,5,13,332.099,414.42,213.506,0.703704,326.259
function@def_his_,267,51,0,83,31,470,69.0772,0.492205,21.711,1.06162e-05,87.1961
function@_QMmetrics_modPmetrics,36,2,0,37,0,8,36,2,37,0,8
function@_QMmetrics_modPmetrics_tile,1560,470,0,551,392,139,48820.3,17568.3,9369.42,2500.91,11905
function@_QMt3dbc_modPt3dbc,8,0,0,8,0,4,8,0,8,0,4
function@_QMt3dbc_modPt3dbc_tile,25,25,0,22,7,14,939.839,725.197,622.358,303.765,227.136
function@set_weights_,40,10,0,41,3,60,6023.05,1971.29,4036.26,2.35714,886.381
function@_QMnf_fwrite4d_modPnf_fwrite4d,77,34,0,51,15,11,110887,9807.79,51850.3,26.2361,1590.11
function@def_station_,0,0,0,0,0,0,0,0,0,0,0
function@_QMwvelocity_modPwvelocity,73,1,0,18,0,7,73,1,18,0,7
function@_QMwvelocity_modPwvelocity_tile,685,338,0,260,119,111,374445,157894,65508.5,23024.8,85610.6
function@_QMbulk_flux_modPbulk_flux,24,1,0,20,0,9,24,1,20,0,9
function@_QMbulk_flux_modPbulk_flux_tile,1251,496,0,839,71,81,925695,356955,683950,661.798,15668.8
function@_QMbulk_flux_modPbulk_psiu,33,14,0,35,0,3,17,7.5,18,0,2
function@_QMbulk_flux_modPbulk_psit,26,9,0,26,0,2,13.5,5,13.5,0,1.5
function@_QMnf_fwrite3d_modPnf_fwrite3d,39,26,0,40,11,18,5431.44,728.779,2789.08,7.91346,309.779
function@get_state_,103,10,0,14,1,289,11.688,0.414878,7.35775,0.00132823,9.06301
