"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMexchange_2d_modPexchange_r2d_tile,1,4,0,2,0,15,1,0.941177,2,0,29.2549
function@_QMexchange_2d_modPexchange_u2d_tile,1,4,0,2,0,15,1,0.941177,2,0,29.2549
function@_QMexchange_2d_modPexchange_v2d_tile,1,4,0,2,0,15,1,0.941177,2,0,29.2549
function@_QMshapiro_modPshapiro2d_tile,61,32,0,42,1,53,149.264,123.132,37.1978,0.0879121,1446.98
function@_QMshapiro_modPshapiro3d_tile,73,45,0,42,1,46,4145,3256.5,499.417,21.25,29512
function@set_ngfld_,28,9,0,15,0,47,12.1059,20.9529,9.37647,0,391.482
function@_QMuv3dmix_modPuv3dmix2,8,0,0,8,0,12,8,0,8,0,12
function@_QMuv3dmix_modPuv3dmix2_tile,316,128,0,265,5,176,565214,271842,19229.4,392.917,354680
function@_QMocean_control_modProms_initialize,0,0,0,0,0,9,0,0,0,0,38.9355
function@_QMocean_control_modProms_run,0,0,0,0,0,1,0,0,0,0,8.125
function@_QMocean_control_modProms_finalize,0,0,0,0,0,5,0,0,0,0,60.9375
function@_QMstep2d_modPstep2d,54,0,0,54,0,14,54,0,54,0,14
function@_QMstep2d_modPstep2d_tile,1910,972,0,1053,48,1166,27564.9,14402.5,1241.57,71.1819,27559.2
function@_QMmod_forcesPallocate_forces,75,0,0,23,0,47,75,0,23,0,46
function@_QMmod_forcesPinitialize_forces,5,1,0,5,2,45,230.275,0.3,219.525,0.475,55297.5
function@_QMnf_fwrite2d_modPnf_fwrite2d,25,10,0,17,1,21,19.0694,16.9028,8.52778,0.111111,83.5833
function@_QMu3dbc_modPu3dbc,5,0,0,5,0,2,5,0,5,0,2
function@_QMu3dbc_modPu3dbc_tile,15,10,0,14,2,13,33.716,25.8025,13.4074,0.197531,418.556
function@def_his_,110,23,0,52,3,709,45.3584,9.84376,2.3985,0.292969,227.163
function@_QMmetrics_modPmetrics,3,0,0,3,0,8,3,0,3,0,8
function@_QMmetrics_modPmetrics_tile,919,242,0,384,297,473,16742.7,12026.1,1457.65,745.323,25095
function@_QMt3dbc_modPt3dbc,9,0,0,9,0,3,9,0,9,0,3
function@_QMt3dbc_modPt3dbc_tile,15,10,0,15,0,17,32.2593,25.8025,14.1975,0,431.148
function@set_weights_,21,3,0,21,0,63,3378.31,1300.79,1391.62,0,820.333
function@_QMnf_fwrite4d_modPnf_fwrite4d,47,16,0,37,0,38,7976.36,10948.2,266.431,0,32483.3
function@_QMwvelocity_modPwvelocity,8,1,0,9,0,10,8,1,9,0,10
function@_QMwvelocity_modPwvelocity_tile,414,215,0,219,40,202,122209,84399.7,4875.29,134.524,152189
function@_QMbulk_flux_modPbulk_flux,8,1,0,9,0,13,8,1,9,0,13
function@_QMbulk_flux_modPbulk_flux_tile,572,233,0,416,1,454,391713,171737,251064,20.0337,216316
function@_QMbulk_flux_modPbulk_psiu,8,4,0,10,0,5,4,2,5,0,3.5
function@_QMbulk_flux_modPbulk_psit,10,3,0,10,0,4,5,1.5,5.5,0,3
function@_QMnf_fwrite3d_modPnf_fwrite3d,30,14,0,29,3,27,319.337,473.269,22.5096,0.942308,1582.34
function@get_state_,57,2,0,11,1,354,2.5731,0.0270475,6.28435,0.00132823,22.2112
function@_QMutility_modPnrng,16,3,0,15,0,19,7.02015,0.76282,7.5522,0,12.4405
function@_QMutility_modPurng,0,0,0,0,0,4,0,0,0,0,12.5926
function@checkadj_,0,0,0,0,0,78,0,0,0,0,62
function@_QManalytical_modPana_btflux,1,0,0,1,0,5,1,0,1,0,5
function@_QManalytical_modPana_btflux_tile,0,6,0,1,0,22,0,12.5276,1,0,430.233
function@_QManalytical_modPana_cloud,0,0,0,0,0,6,0,0,0,0,6
function@_QManalytical_modPana_cloud_tile,10,0,0,8,0,12,18.975,0,5.6,0,233.9
function@_QManalytical_modPana_grid,1,0,0,1,0,9,1,0,1,0,9
function@_QManalytical_modPana_grid_tile,452,130,0,203,88,258,7414.4,5413.8,603.775,293.825,12927.7
function@_QManalytical_modPana_humid,0,0,0,0,0,6,0,0,0,0,6
function@_QManalytical_modPana_humid_tile,10,0,0,8,0,12,18.975,0,5.6,0,233.9
function@_QManalytical_modPana_initial,14,0,0,14,0,5,7,0,7,0,4
function@_QManalytical_modPana_nlminitial_tile,79,50,0,54,1,65,19350.8,43251.8,17474.4,0.4,38343.1
function@_QManalytical_modPana_pair,0,0,0,0,0,6,0,0,0,0,6
function@_QManalytical_modPana_pair_tile,10,0,0,8,0,12,18.975,0,5.6,0,233.9
function@_QManalytical_modPana_rain,0,0,0,0,0,6,0,0,0,0,6
