"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_ck_concat,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_spair,0,0,0,0,0,2,0,0,0,0,0.732601
function@Perl_ck_fun,22,14,0,36,29,39,6.24463,2.1275,8.53588,0.54942,26.7782
function@Perl_ck_delete,0,0,0,0,0,3,0,0,0,0,2.3125
function@Perl_ck_eof,0,0,0,0,0,4,0,0,0,0,2
function@Perl_ck_eval,0,0,0,0,0,6,0,0,0,0,1.43155
function@Perl_ck_exec,0,0,0,0,0,3,0,0,0,0,1.74118
function@Perl_ck_exists,0,0,0,0,0,3,0,0,0,0,2.30952
function@Perl_ck_rvconst,0,0,0,0,0,3,0,0,0,0,1.39011
function@Perl_ck_glob,0,0,0,0,0,7,0,0,0,0,4.41547
function@Perl_ck_grep,3,0,0,3,0,10,1.27027,0,1.67568,0,18.9595
function@Perl_ck_index,0,0,0,0,0,5,0,0,0,0,0.340458
function@Perl_ck_lfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_defined,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_rfun,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_readline,0,0,0,0,0,3,0,0,0,0,1.5
function@Perl_ck_listiob,0,0,0,0,0,5,0,0,0,0,1.93772
function@Perl_ck_smartmatch,0,0,0,0,0,7,0,0,0,0,4.84
function@Perl_ck_sassign,1,0,0,1,0,12,0.155116,0,0.155116,0,3.21452
function@Perl_ck_match,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_method,5,3,0,2,0,13,0.498873,0.378663,0.745304,0,26.7956
function@Perl_ck_null,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_open,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_prototype,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_refassign,1,2,0,5,0,5,0.116883,1.43723,1.71429,0,2.1645
function@Perl_ck_repeat,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_require,2,2,0,3,0,28,0.144043,0.144043,0.288086,0,8.80957
function@Perl_ck_return,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_select,0,0,0,0,0,3,0,0,0,0,0.577982
function@Perl_ck_shift,0,0,0,0,0,4,0,0,0,0,1.74194
function@Perl_ck_sort,2,1,0,2,1,9,0.00292969,0.000205994,0.00494385,0.000549316,1.83981
function@Perl_ck_split,0,0,0,0,0,6,0,0,0,0,2.62178
function@Perl_ck_stringify,0,0,0,0,0,1,0,0,0,0,0.296296
function@Perl_ck_join,0,0,0,0,0,3,0,0,0,0,0.16309
function@Perl_find_lexical_cv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_rv2cv_op_cv,3,1,0,1,3,4,0.0143579,0.0167509,0.00584951,0.0600904,1.02579
function@Perl_ck_entersub_args_list,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_entersub_args_proto,55,15,0,43,19,42,28.9033,18.5238,33.2555,4.6933,52.6124
function@S_bad_type_gv,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_entersub_args_proto_or_list,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_entersub_args_core,3,1,0,3,0,10,0.935433,0.195276,0.935433,0,53.6142
function@Perl_cv_get_call_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_cv_set_call_checker_flags,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_subr,4,2,0,3,3,9,1.85938,0.538597,1.86914,0.755859,35.1812
function@Perl_ck_svconst,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_trunc,0,0,0,0,0,2,0,0,0,0,0.594595
function@Perl_ck_substr,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_tell,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_each,3,0,0,1,0,2,0.822476,0,1,0,2
function@Perl_ck_length,1,0,0,2,1,2,0.0390879,0,0.247557,0.0390879,2
function@S_maybe_multideref,47,29,0,35,29,29,70.8005,73.4964,88.1924,54.6888,63.0617
function@Perl_rpeep,119,21,0,70,21,95,18.1064,3.08257,21.3157,1.90848,120.769
function@S_aassign_common_vars,0,0,0,0,0,1,0,0,0,0,4.29069
function@S_aassign_common_vars_aliases_only,0,0,0,0,0,1,0,0,0,0,3.7156
function@Perl_custom_op_register,0,0,0,0,0,2,0,0,0,0,1.38095
function@Perl_core_prototype,6,1,0,7,3,36,0.685656,1.95902,1.2571,1.71414,16.7071
function@Perl_coresub_op,0,0,0,0,0,28,0,0,0,0,7.04519
function@Perl_wrap_op_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_clean_objs,0,0,0,0,0,4,0,0,0,0,72.255
function@Perl_sv_del_backref,3,0,0,2,0,3,0.176471,0,0.235294,0,2.27941
function@Perl_sv_free2,0,0,0,0,0,0,0,0,0,0,0
function@S_curse,8,1,0,5,0,21,1.72809,0.312165,1.88909,0,15.1029
function@Perl_newRV,0,0,0,0,0,3,0,0,0,0,24.6667
function@Perl_sv_clean_all,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_free_arenas,0,0,0,0,0,3,0,0,0,0,469.083
function@Perl_more_bodies,0,0,0,1,1,9,0,0,1,1,23.52
function@Perl_sv_upgrade,20,2,0,8,1,40,1.76744,0.429507,1.73951,0.499943,4.13214
function@Perl_sv_force_normal_flags,12,5,0,8,1,20,0.662755,0.642917,1.83208,0.0357642,6.24336
function@Perl_sv_reftype,0,0,0,0,0,2,0,0,0,0,1.49908
function@Perl_sv_backoff,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_grow,10,0,0,10,1,22,1.96396,0,2.07207,0.0945946,8.47748
function@Perl_sv_unref_flags,0,0,0,0,0,2,0,0,0,0,1.17204
function@Perl_sv_setiv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_magic,0,0,0,0,0,7,0,0,0,0,3.38788
function@Perl_sv_setiv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setnv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_setnv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_looks_like_number,0,0,0,0,0,1,0,0,0,0,0.999999
function@Perl_sv_2pv_flags,12,10,0,15,4,67,9.41773,9.5123,10.4145,8.25411,66.8613
function@Perl_sv_2iv_flags,0,0,0,0,0,16,0,0,0,0,3.63759
function@S_not_a_number,0,0,0,0,0,1,0,0,0,0,1
function@Perl_report_uninit,0,0,0,0,0,4,0,0,0,0,1.44531
function@S_sv_2iuv_common,4,2,0,4,0,24,0.0415649,0.13623,0.303284,0,4.90173
