"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_jmaybe,0,0,0,0,0,6,0,0,0,0,2.12941
function@Perl_newSVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_convert_list,2,3,0,3,1,12,2,1.98824,2.49412,1,6.77647
function@S_force_list,0,0,0,0,0,7,0,0,0,0,4.60294
function@S_fold_constants,14,8,0,9,0,29,0.509697,0.134257,2.30471,0,7.49879
function@Perl_newNULLLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newUNOP_AUX,0,0,0,0,0,3,0,0,0,0,2.61905
function@Perl_newMETHOP,0,2,0,1,0,5,0,0.25,0.154412,0,2.65441
function@Perl_newMETHOP_named,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newATTRSUB_x,122,93,0,41,32,28,11.1335,13.3295,6.3984,6.59495,3.56253
function@S_set_haseval,3,7,0,4,0,4,20.2381,20.4286,2.42857,0,85.381
function@Perl_newDEFSVOP,0,0,0,0,0,7,0,0,0,0,5.38235
function@Perl_newPVOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_package_version,0,0,0,0,0,1,0,0,0,0,1
function@Perl_utilize,7,8,0,5,7,43,1.29401,4.24906,3.20412,3.80899,12.6966
function@Perl_vload_module,0,3,0,2,1,6,0,2.62353,1.62353,0.364706,9.83529
function@Perl_dofile,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newSLICEOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newASSIGNOP,30,3,0,2,0,12,0.788552,0.127804,0.25,0,2.48442
function@Perl_newLOGOP,0,0,0,0,0,4,0,0,0,0,4
function@S_assignment_type,0,0,0,0,0,5,0,0,0,0,1.67578
function@S_new_logop,24,22,0,12,5,19,3.19986,1.70362,2.35573,0.5946,22.1075
function@Perl_newCONDOP,0,0,0,0,0,25,0,0,0,0,30.9615
function@Perl_newRANGE,4,0,0,1,0,9,2.82857,0,1,0,23
function@Perl_newLOOPOP,1,2,0,2,2,16,0.868507,1.49351,1.10288,0.765625,5.46066
function@Perl_newWHILEOP,5,5,0,9,2,15,3.68797,3.9643,5.18793,0.570312,5.61664
function@Perl_newFOROP,17,8,0,17,11,21,3.04106,1.81232,2.00293,2.1085,9.56305
function@Perl_newLOOPEX,0,0,0,0,0,6,0,0,0,0,2.125
function@Perl_newGIVENOP,0,0,0,0,0,2,0,0,0,0,2
function@S_newGIVWHENOP,8,0,0,3,0,5,6.32353,0,3,0,20.2941
function@S_ref_array_or_hash,0,0,0,0,0,1,0,0,0,0,0.443478
function@Perl_newWHENOP,0,0,0,0,0,7,0,0,0,0,3.92
function@S_looks_like_bool,0,0,0,0,0,1,0,0,0,0,0.565121
function@Perl_cv_ckproto_len_flags,29,23,0,29,11,10,7.10235,1.71277,4.7787,4.20055,3.0355
function@Perl_cv_const_sv,0,0,0,0,0,3,0,0,0,0,1.35802
function@Perl_cv_const_sv_or_av,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newMYSUB,97,51,0,35,17,47,43.5661,9.71574,20.3674,4.07054,15.1649
function@S_move_proto_attr,16,10,0,14,6,9,6.99691,1.53564,6.80754,0.374349,3.98112
function@S_perl_hash_one_at_a_time_hard,0,0,0,0,0,16,0,0,0,0,54.5714
function@S_op_const_sv,0,1,0,1,1,10,0,0.249143,0.274286,0.312,25.1303
function@S_already_defined,0,0,0,0,0,3,0,0,0,0,2.17582
function@const_sv_xsub,0,0,0,0,0,0,0,0,0,0,0
function@S_apply_attrs,0,1,0,1,0,13,0,1,1,0,6.9266
function@Perl_newCONSTSUB_flags,0,4,0,2,3,4,0,2.3125,0.78125,1.15625,2.3125
function@S_process_special_blocks,3,0,0,3,0,5,0.184751,0,0.184751,0,2.14663
function@Perl_newCONSTSUB,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_len_flags,4,2,0,3,5,6,0.635468,1.29885,0.715928,0.876847,3.90805
function@const_av_xsub,1,2,0,2,1,3,0.313726,0.470588,0.470588,0.156863,1.62745
function@Perl_newXS,0,0,0,0,0,3,0,0,0,0,1.125
function@Perl_newXS_flags,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_deffile,0,0,0,0,0,3,0,0,0,0,1.14286
function@Perl_report_redefined_cv,0,1,0,2,1,1,0,0.111725,0.812081,0.187525,0.171733
function@Perl_newSTUB,0,0,0,0,0,3,0,0,0,0,3
function@Perl_newFORM,0,0,0,0,0,6,0,0,0,0,2.64286
function@Perl_newANONLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newANONHASH,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newANONSUB,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_newANONATTRSUB,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_oopsAV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_oopsHV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newAVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newGVREF,0,0,0,0,0,2,0,0,0,0,0.5
function@Perl_newHVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newCVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_anoncode,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_backtick,0,0,0,0,0,6,0,0,0,0,2.51471
function@Perl_ck_bitop,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_cmp,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_concat,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_spair,0,0,0,0,0,2,0,0,0,0,0.732601
function@Perl_ck_fun,32,36,0,37,24,24,9.04646,6.0856,10.9863,1.68393,19.27
function@Perl_ck_delete,0,0,0,0,0,3,0,0,0,0,2.3125
