"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@lzma_simple_powerpc_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@powerpc_code,10,0,0,8,0,26,31.6875,0,29.75,0,127.25
function@lzma_simple_arm_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_arm_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@arm_code,3,0,0,3,0,22,11.9062,0,8.1875,0,132.344
function@lzma_simple_props_size,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_props_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_coder_init,0,0,0,0,0,5,0,0,0,0,1.85714
function@simple_code,7,11,0,12,0,16,0.953168,1.58402,3.13499,0,2.85399
function@simple_coder_end,0,0,0,0,0,0,0,0,0,0,0
function@simple_coder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_sparc_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_sparc_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@sparc_code,9,0,0,8,0,24,29.2188,0,26.5625,0,109.906
function@lzma_simple_props_decode,0,0,0,0,0,2,0,0,0,0,2
function@lzma_simple_ia64_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_ia64_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@ia64_code,26,5,0,27,2,46,134.375,19.6875,234.312,7.875,378.188
function@lzma_stream_buffer_decode,3,0,0,3,0,10,0.0219727,0,0.0439453,0,2.48926
function@lzma_index_init,0,0,0,0,0,5,0,0,0,0,3.14706
function@index_tree_append,0,0,0,0,0,9,0,0,0,0,4.39706
function@lzma_index_end,0,0,0,0,0,0,0,0,0,0,0
function@index_stream_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_prealloc,0,0,0,0,0,1,0,0,0,0,1
function@lzma_index_memusage,0,0,0,0,0,5,0,0,0,0,5
function@lzma_index_memused,0,3,0,2,1,6,0,3,2,1,6
function@lzma_index_block_count,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_stream_count,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_size,0,0,0,0,0,1,0,0,0,0,1
function@lzma_index_total_size,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_stream_size,0,0,0,0,0,1,0,0,0,0,1
function@lzma_index_file_size,0,0,0,0,0,1,0,0,0,0,0.619048
function@lzma_index_uncompressed_size,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_checks,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_padding_size,0,0,0,0,0,1,0,0,0,0,1
function@lzma_index_stream_flags,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_stream_padding,2,1,0,3,0,1,1,0.309524,1.30952,0,1
function@lzma_index_append,15,3,0,13,2,11,1.46372,0.697161,4.99054,0.37224,3.40694
function@lzma_index_cat,9,2,0,11,2,8,1.29089,2,3.96509,0.75,3.58209
function@index_cat_helper,0,0,0,0,0,5,0,0,0,0,85.625
function@lzma_index_dup,7,1,0,8,0,13,5.64493,3.77355,5.99638,0,141.004
function@lzma_index_iter_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_iter_rewind,0,0,0,0,0,0,0,0,0,0,0
function@lzma_index_iter_next,1,0,0,1,0,21,0.582712,0,0.499255,0,70.7243
function@iter_set_info,5,2,0,6,0,4,3.62397,1.24793,4.8719,0,2.63636
function@lzma_index_iter_locate,9,0,0,8,0,15,61.8571,0,42.1905,0,93.9048
function@index_tree_node_end,0,0,0,0,0,4,0,0,0,0,3.33333
function@lzma_filter_decoder_is_supported,0,0,0,0,0,4,0,0,0,0,2.6
function@decoder_find,0,0,0,0,0,2,0,0,0,0,2
function@lzma_raw_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_raw_decoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_raw_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_properties_decode,0,0,0,0,0,2,0,0,0,0,2
function@lzma_block_header_decode,0,1,0,1,0,8,0,0.348775,0.02215,0,2.26348
function@free_properties,0,0,0,0,0,2,0,0,0,0,2
function@lzma_auto_decoder,0,0,0,0,0,5,0,0,0,0,2.72371
function@auto_decoder_init,0,0,0,0,0,1,0,0,0,0,1
function@auto_decode,0,0,0,0,0,6,0,0,0,0,1.67155
function@auto_decoder_get_check,0,0,0,0,0,0,0,0,0,0,0
function@auto_decoder_memconfig,0,0,0,0,0,1,0,0,0,0,1
function@lzma_stream_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@stream_encode,3,8,0,6,0,10,1.19362,8.08475,3,0,5.79134
function@stream_encoder_end,0,0,0,0,0,0,0,0,0,0,0
function@stream_encoder_update,0,1,0,1,0,0,0,0.159292,0.159292,0,0
function@lzma_stream_encoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_raw_buffer_decode,4,0,0,4,0,5,0.125,0,0.1875,0,1.73437
function@lzma_easy_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_stream_buffer_bound,0,0,0,0,0,1,0,0,0,0,1
