"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_blockhook_register,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newPROG,0,0,0,0,0,10,0,0,0,0,2.65659
function@Perl_localize,3,1,0,2,3,7,0.69916,0.625,0.697405,1.89481,3.51066
function@Perl_jmaybe,0,0,0,0,0,6,0,0,0,0,2.12941
function@Perl_newSVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@S_force_list,0,0,0,0,0,7,0,0,0,0,4.60294
function@S_fold_constants,8,0,0,5,0,28,0.512314,0,2.26052,0,5.5658
function@Perl_newNULLLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newUNOP_AUX,1,0,0,1,1,3,1,0,1,1,2.61905
function@Perl_newMETHOP,0,0,0,0,0,4,0,0,0,0,1.65441
function@Perl_newATTRSUB_x,84,74,0,36,25,29,7.54817,11.6704,6.37927,6.67436,4.83747
function@S_set_haseval,4,3,0,3,2,4,50.8571,34.2381,2.47619,17.0952,71.381
function@uvcompare,0,0,0,0,0,4,0,0,0,0,2.75
function@Perl_newDEFSVOP,0,0,0,0,0,7,0,0,0,0,5.38235
function@Perl_newPVOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_package_version,0,0,0,0,0,1,0,0,0,0,1
function@Perl_utilize,6,4,0,3,2,39,0.623595,1.37453,1.99813,1.6573,12.1667
function@Perl_vload_module,0,3,0,1,2,6,0,2.49412,1,2,5.44706
function@Perl_dofile,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newSLICEOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newASSIGNOP,16,5,0,3,2,21,0.427271,0.126931,0.125929,4.26769e-05,2.67004
function@Perl_newLOGOP,0,0,0,0,0,0,0,0,0,0,0
function@S_assignment_type,0,0,0,0,0,5,0,0,0,0,1.67578
function@S_new_logop,38,9,0,6,5,21,4.79956,2.08321,2.06904,0.5946,22.8368
function@Perl_newCONDOP,1,2,0,3,1,26,0.331401,0.334293,0.458568,0.00144589,30.9615
function@Perl_newRANGE,7,0,0,1,0,8,5.25714,0,1,0,22
function@Perl_newLOOPOP,0,2,0,2,2,15,0,0.00997281,0.00997281,0.00498629,5.22742
function@Perl_newWHILEOP,5,6,0,10,3,14,3.68797,3.97002,5.19365,0.573173,5.51898
function@Perl_newFOROP,5,9,0,6,8,17,1.55718,2.66276,1.93548,1.04399,7.97067
function@Perl_newLOOPEX,1,1,0,3,2,2,0.999999,1,0.75,1,0.375
function@Perl_newGIVENOP,0,0,0,0,0,2,0,0,0,0,2
function@S_newGIVWHENOP,5,0,0,1,0,7,4.35294,0,1,0,21.6471
function@S_ref_array_or_hash,0,0,0,0,0,1,0,0,0,0,0.443478
function@Perl_newANONLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newWHENOP,0,0,0,0,0,7,0,0,0,0,3.92
function@S_looks_like_bool,0,0,0,0,0,1,0,0,0,0,0.565121
function@Perl_cv_ckproto_len_flags,31,35,0,32,18,10,7.37068,4.18073,4.68188,6.70493,2.52328
function@Perl_cv_const_sv,0,0,0,0,0,3,0,0,0,0,1.35802
function@Perl_cv_const_sv_or_av,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newMYSUB,95,53,0,40,23,46,30.732,13.5264,15.5995,6.01507,19.2798
function@S_move_proto_attr,13,6,0,9,2,13,6.82031,1.28662,6.4279,0.208333,4.32007
function@S_perl_hash_one_at_a_time_hard,0,0,0,0,0,15,0,0,0,0,53.5714
function@S_op_const_sv,0,1,0,1,1,10,0,0.249143,0.274286,0.312,25.1303
function@S_already_defined,2,2,0,3,1,3,0.703297,0.351648,0.820513,0.117216,2.17582
function@const_sv_xsub,0,0,0,0,0,0,0,0,0,0,0
function@Perl_report_redefined_cv,0,1,0,2,1,7,0,0.111725,0.812081,0.187525,0.222661
function@Perl_newCONSTSUB_flags,0,2,0,1,1,4,0,0.3125,0.15625,0.15625,2.3125
function@S_process_special_blocks,1,0,0,1,0,7,0.0615836,0,0.0615836,0,4.14663
function@Perl_newCONSTSUB,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_len_flags,7,4,0,4,5,4,3.58785,3.62397,3.11823,0.876847,2.28407
function@const_av_xsub,0,0,0,0,0,3,0,0,0,0,1.54902
function@Perl_newXS,0,0,0,0,0,3,0,0,0,0,1.125
function@Perl_newXS_flags,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_deffile,0,0,0,0,0,3,0,0,0,0,1.14286
function@Perl_newSTUB,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newFORM,1,0,0,1,0,5,0.1875,0,0.1875,0,2.03571
function@Perl_newANONHASH,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newANONSUB,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_newANONATTRSUB,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_oopsAV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_oopsHV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newAVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newGVREF,0,0,0,0,0,2,0,0,0,0,0.5
function@Perl_newHVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newCVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_anoncode,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_backtick,0,0,0,0,0,6,0,0,0,0,2.51471
function@Perl_ck_bitop,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_cmp,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_concat,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_spair,0,0,0,0,0,2,0,0,0,0,0.732601
function@Perl_ck_fun,37,58,0,41,11,17,16.0743,10.1735,11.7938,4.48404,13.1932
function@Perl_ck_delete,0,0,0,0,0,3,0,0,0,0,2.3125
function@Perl_ck_eof,0,0,0,0,0,4,0,0,0,0,2
function@Perl_ck_eval,0,0,0,0,0,6,0,0,0,0,1.43155
function@Perl_ck_exec,0,0,0,0,0,3,0,0,0,0,1.74118
function@Perl_ck_exists,0,0,0,0,0,3,0,0,0,0,2.30952
function@Perl_ck_rvconst,0,0,0,0,0,3,0,0,0,0,1.39011
function@Perl_ck_glob,0,0,0,0,0,7,0,0,0,0,4.41547
function@Perl_ck_grep,4,1,0,2,1,12,1.72973,0.459459,0.918919,1,19.7703
function@Perl_ck_index,0,1,0,0,1,5,0,0.0366412,0,0.048855,0.340458
